datetime,lat,long,n_satellites,temp_C,rh,CO2_ppm,particles03um,particles05um,particles10um,particles25um,particles50um,particles100um
11/4/2024_21:46:14,40.713333,-73.994476,6,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_21:46:18,40.713348,-73.994568,6,0.0,0.0,0,0,0,0,0,0,0
11/4/2024_21:46:23,40.713348,-73.994537,6,17.8,52.9,263,762,230,56,12,0,0
11/4/2024_21:46:28,40.713333,-73.994537,5,17.6,54.1,311,591,185,48,15,0,0
11/4/2024_21:46:31,40.713196,-73.994507,6,17.5,54.9,399,537,162,42,15,0,0
11/4/2024_21:46:36,40.713242,-73.994537,6,17.3,55.5,432,450,132,31,12,0,0
11/4/2024_21:46:41,40.713287,-73.994537,6,17.1,56.2,429,459,134,26,7,0,0
11/4/2024_21:46:46,40.713333,-73.994568,6,17.0,56.8,421,507,150,23,4,0,0
11/4/2024_21:46:51,40.713379,-73.994568,6,16.8,57.5,426,585,175,15,0,0,0
11/4/2024_21:46:56,40.713425,-73.994537,6,16.6,58.2,438,702,214,27,1,0,0
11/4/2024_21:47:01,40.713440,-73.994568,6,16.4,58.8,445,1056,328,51,2,0,0
11/4/2024_21:47:06,40.713486,-73.994568,6,16.3,59.3,443,1905,592,126,9,0,0
11/4/2024_21:47:11,40.713516,-73.994598,7,16.2,59.9,442,1401,445,80,8,1,0
11/4/2024_21:47:16,40.713547,-73.994659,7,16.0,60.4,450,1110,357,63,4,1,0
11/4/2024_21:47:21,40.713577,-73.994690,7,15.8,60.9,463,807,256,36,3,1,0
11/4/2024_21:47:26,40.713577,-73.994690,7,15.7,61.4,450,762,238,35,2,1,0
11/4/2024_21:47:31,40.713593,-73.994690,8,15.6,61.8,449,711,218,28,1,1,0
11/4/2024_21:47:36,40.713593,-73.994690,8,15.5,62.3,447,669,204,23,1,1,0
11/4/2024_21:47:41,40.713593,-73.994690,9,15.3,62.6,427,579,178,19,0,0,0
11/4/2024_21:47:46,40.713593,-73.994690,9,15.2,63.1,434,630,199,20,0,0,0
11/4/2024_21:47:51,40.713593,-73.994690,9,15.1,63.4,435,639,196,28,0,0,0
11/4/2024_21:47:56,40.713608,-73.994690,10,15.0,63.8,435,612,192,26,0,0,0
11/4/2024_21:48:01,40.713654,-73.994720,10,14.9,64.2,434,618,191,26,0,0,0
